Title,RecordID,HasImage,ImageFile,MatchMethod,Confidence
"Speil",recX3sSmLK84y2D7F,True,Y4ZZgSo3NGAoMVKciGrSfvQhV2s0TrSieGGXZHn0FxA.png,positional_by_download_time,high
"Speil",recDuvhXRonZXKg0U,True,Ppu4g5VjvmG0Q2a76R4w4US97JCcSRBIAF_p5dmyPMM.png,positional_by_download_time,high
"Speil",reckFCC9vp9UitQ1S,True,D8miGG6pb1he8lc8l9koMqZnjk6ABHb7Ht2Tlq7hCGE.png,positional_by_download_time,high
"Speil",recbc1Vm0Q8EFu19U,True,UAn3Xiz3q9avNJzxqvIzZhTWCMxsioPyhkJ2yZjLtto.png,positional_by_download_time,high
"Speil",rec4Ihg8MK15ecTSt,True,NVzxh5gWDbqdX9VjTfugdSNQrID2qvn46c_nhfvl9eY.png,positional_by_download_time,high
"Speil",recTCHWPkqpjvHuQS,True,Rw8pYdiIQ_ZFMPAp3rY0JdvcGulXz70UlZo0yQf2Ctk.png,positional_by_download_time,high
"Speil",reccIlf99VdDxl0rn,True,uFeL1tpfQyX2uV1y1XOz7sUEf1AOMfgiurOl7ji60Zs.png,positional_by_download_time,high
"Sidebord",recuXEZPaYQmUveBu,True,28ADVMRKDs1FgHaP0iogpOmVCxvMWA2O_BO8yiacBEw.png,positional_by_download_time,high
"Speil med konsollbord",rec6qrTP4LVnDGK0d,True,LoU2fR8XTR74Oq3x6WbMJK1bJCMoXZ_hW4MJY97HO58.png,positional_by_download_time,high
"Nattbord",rectE3CDhBVzY8mAi,False,,no_image,N/A
"Skipsbord",recaRzCd1Vn4Ux93M,True,6drcZy-zOldUE8o4w0Mz5FxMn6hoQHy_Nq_M61T71JU.png,positional_by_download_time,high
"Lenestoler",recVwuswepnikCzSZ,True,DOK4T4Zfb2PoYVymYFB4JJDk7C9McqSSL5v2mzHeuGc.png,positional_by_download_time,high
"Skjermbrett",recqgwAMzF8mifn5o,True,v1aStLyqneKVXstEa5Iq_hW3lqEk0xPCpba2NmsA6FE.png,positional_by_download_time,high
"Skrivebord",recZHWlZGG0aY0Ifs,True,qBghKQY68eTlBIe4nHi8WYVVg9jW40ljjVjIVDb42Dc.png,positional_by_download_time,high
